"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","All Donors, Total","","Flow Type(s):","Net Disbursements","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Recipient(s)",
"All Developing Countries, Total","","4254.86","5219.89","5440.11","5962.44","5835.85","6243.7","6416.38","6624.13","6304.1","6175.38","6838.55","7765.19","8247.68","10921.95","14633.23","18785.34","18096.6","18945.54","25389.34","28738.86","34543.1","33292.81","30290.82","29138.36","30283.98","32268.05","37740.17","41628.12","44716.37","46401.24","58548.39","61862.8","60825.32","56128.42","60299.67","59271.56","56557.05","49171.19","51919.81","53224.93","50072.13","52295.6","62038.44","71642.98","79934.26","108542.42","107280.38","108844.85","127339.71","127444.89","131573.94","141809.79","133751.6","151137.93","161729.79","152731.54","157704.5"
"Afghanistan","","17.18","34.67","16.93","36.67","46.17","53.93","50.36","40.6","29.24","27.25","27.61","44.44","55.18","55.95","49.18","69.45","71.43","85.61","82.52","105.47","33.01","23.91","9.33","13.28","6.5","16.32","1.91","45.28","72.36","148.32","121.72","507.53","204.9","223.8","226.42","212.53","169.63","230.75","164.2","142.86","136.01","410.36","1309.77","1593.67","2310.64","2837.95","2962","5076.88","4874.84","6234.87","6470.36","6865.79","6666.77","5152.54","4942.97","4237.29","4064.33"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","5.56","10.34","11.05","331.95","409.64","270.68","163.1","180.6","226.64","168.23","268.74","488.18","317.85","268.53","307.36","349.31","300.94","315.08","324.04","308.63","364.84","357.15","365.07","379.48","349.16","269.98","281.17","333.58","168.53"
"Algeria","","355.05","437.91","397.63","281.91","227.84","146.23","126.92","107.64","119.61","131.23","122.21","120.99","110.3","125.09","128.33","235.27","145.37","129.15","190.29","110.84","205.16","167.07","134.7","93.28","120.98","172.15","167.33","213.45","171.98","158.21","331.65","211.17","374.79","326.31","295.49","295.74","306.88","247.89","419.87","137.98","199.96","198.86","186.12","239.24","316.97","347.38","240.68","395.01","324.83","302.39","201.25","193.35","147.32","203.42","160.62","87.49","157.41"
"Angola","","-0.05","23.55","..","0.03","..","1.11","2.86","18.18","0.01","-0.11","-0.03","0","0.09","0.16","0.37","4.76","17.48","47.5","46.87","47.06","52.44","60.22","59.07","73.88","93.41","90.49","130.25","134.43","157.03","167.06","265.77","277.08","343.59","289.39","447.07","416.42","459.31","354.66","335.27","387.54","302.21","282.73","414.03","493.5","1144.57","414.68","163.52","259.98","369.04","238.94","235.17","192.94","243.61","285.54","235.39","380.06","206.78"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.67","1.1","1.11","2.34","2.25","2.3","2.63","1.95","2.34","1.71","2.65","2.97","4.09","3.94","6.46","3.82","6.29","4.76","4.7","6.55","3.36","2.56","2.57","3.05","2.4","3.52","3.54","0.73","3.95","2.69","4.01","4.42","5.27","3.35","1.4","8.27","0.3","5.04","7.63","..","..",".."
"Antigua and Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","3","2.06","3.11","5.38","3.6","3.28","5.5","9.04","4.95","3.37","2.36","2.95","5.05","5.56","8.45","4.34","4.61","7.23","4.67","3","4.16","2.27","3.87","4.35","9.98","10.84","9.88","8.58","13.51","5.63","1.9","8.06","3.28","4.99","6.07","4.26","19.66","15.42","2.09","1.59","2.55","1.49","0.08"
"Argentina","","28.58","29.18","39.8","37.8","17.22","-62.2","-9.69","21.69","40.72","25.48","9.34","27.71","23.32","45.66","35.92","26.31","30.57","27.92","28.16","42.98","19.48","43.56","29.74","47","48.49","39.02","85.86","99.33","152.6","210.7","168.74","273.68","264.44","226.8","146.78","143.12","131.54","102.33","85.54","84.9","60.37","153.24","88.19","107.71","92.08","94.12","110.43","85.81","120","113.67","128.53","95.18","177.76","34.73","48.79","-18.87","2.6"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2.72","22.45","109.46","191.27","217.71","292.28","166.27","194.26","209.24","215.89","211.47","295.22","250.4","256.12","172.62","215.39","351.9","304.43","525.61","342.58","395.5","270.56","280.36","267.43","347.48","326.76"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","12.04","40.43","20.91","19.29","24.33","29.98","24.97","29.98","24.86","18.26","25.8","19.53","25.07","11.26","-7.38","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
